Page,Error Count
0712.txt,61
0713.txt,49
0714.txt,46
0715.txt,45
0716.txt,40
0719.txt,47
0720.txt,38
0721.txt,56
0722.txt,40
0723.txt,36
0724.txt,54
0725.txt,66
0729.txt,71
0730.txt,62
0731.txt,49
0732.txt,72
0733.txt,57
0735.txt,52
0736.txt,57
0737.txt,47
0738.txt,50
0739.txt,53
0740.txt,66
0741.txt,58
0742.txt,65
0744.txt,63
0745.txt,56
0746.txt,60
0747.txt,64
0748.txt,69
0749.txt,47
0750.txt,55
0751.txt,73
0752.txt,65
0753.txt,60
0754.txt,71
0755.txt,67
0756.txt,67
0757.txt,60
0758.txt,59
0760.txt,68
0761.txt,53
0762.txt,66
0763.txt,48
0764.txt,48
0765.txt,55
0766.txt,61
0767.txt,78
0768.txt,91
0769.txt,91
0770.txt,68
0771.txt,87
0772.txt,49
0773.txt,53
0774.txt,57
0775.txt,56
0776.txt,64
0777.txt,54
0778.txt,74
0779.txt,43
0780.txt,45
0781.txt,48
0782.txt,38
0783.txt,47
0784.txt,68
0785.txt,59
0786.txt,53
0787.txt,46
0788.txt,66
0789.txt,44
0790.txt,62
0791.txt,44
0792.txt,48
0793.txt,51
0794.txt,64
0795.txt,40
0796.txt,68
0798.txt,75
0799.txt,65
0800.txt,49
0801.txt,47
0802.txt,57
0803.txt,35
0804.txt,60
0805.txt,68
0807.txt,52
0808.txt,65
0809.txt,58
0810.txt,70
0811.txt,62
0812.txt,66
0813.txt,57
0814.txt,74
0815.txt,53
0817.txt,64
0818.txt,61
0819.txt,68
0820.txt,57
0821.txt,66
0822.txt,58
0823.txt,56
0824.txt,58
0825.txt,51
0826.txt,53
0827.txt,46
0828.txt,53
0830.txt,63
0831.txt,67
0832.txt,64
0833.txt,77
0834.txt,57
0835.txt,70
0836.txt,63
0837.txt,58
0838.txt,48
0840.txt,45
0841.txt,48
0842.txt,70
0843.txt,74
0844.txt,75
0845.txt,54
0846.txt,43
0847.txt,53
0849.txt,58
0850.txt,49
0851.txt,47
0852.txt,62
0853.txt,55
0855.txt,54
0856.txt,62
0857.txt,74
0858.txt,65
0859.txt,93
0860.txt,49
0861.txt,51
0863.txt,64
0864.txt,69
0865.txt,82
0866.txt,62
0867.txt,77
0868.txt,59
0869.txt,60
0870.txt,66
0871.txt,60
0874.txt,73
0875.txt,59
0876.txt,63
0877.txt,69
0878.txt,63
0879.txt,71
0881.txt,60
0882.txt,74
0883.txt,60
0884.txt,69
0885.txt,64
0887.txt,65
0888.txt,51
0889.txt,60
0890.txt,58
0891.txt,71
0892.txt,66
0893.txt,76
0894.txt,71
0895.txt,61
0896.txt,72
0897.txt,62
0898.txt,59
0899.txt,49
0900.txt,43
0901.txt,49
0902.txt,75
