abgeschicket : ['bub_gb_MbxYAAAAcAAJ_0249.txt', 'line 21', 3]
abgeschiffet : ['bub_gb_MbxYAAAAcAAJ_0746.txt', 'line 6', 1]
abgeschnit : ['bub_gb_MbxYAAAAcAAJ_0145.txt', 'line 99', 1]
abgeschnits : ['bub_gb_MbxYAAAAcAAJ_0894.txt', 'line 63', 5]
abgeschoß : ['bub_gb_MbxYAAAAcAAJ_0879.txt', 'line 59', 1]
abgeschrecket : ['bub_gb_MbxYAAAAcAAJ_0166.txt', 'line 76', 3]
abgeschwohren : ['bub_gb_MbxYAAAAcAAJ_0369.txt', 'line 3', 1]
abgeschöpffet : ['bub_gb_MbxYAAAAcAAJ_0477.txt', 'line 43', 2]
abgeschütten : ['bub_gb_MbxYAAAAcAAJ_0149.txt', 'line 121', 1]
abgeschützten : ['bub_gb_MbxYAAAAcAAJ_0379.txt', 'line 71', 1]
abgesen : ['bub_gb_MbxYAAAAcAAJ_0865.txt', 'line 61', 1]
abgesetzs : ['bub_gb_MbxYAAAAcAAJ_0119.txt', 'line 84', 1]
abgesezten : ['bub_gb_MbxYAAAAcAAJ_0855.txt', 'line 82', 4]
abgesons : ['bub_gb_MbxYAAAAcAAJ_0534.txt', 'line 17', 1]
abgespeiset : ['bub_gb_MbxYAAAAcAAJ_0071.txt', 'line 98', 3]
abgespielet : ['bub_gb_MbxYAAAAcAAJ_0813.txt', 'line 52', 1]
abgespros : ['bub_gb_MbxYAAAAcAAJ_0671.txt', 'line 70', 1]
abgestofet : ['bub_gb_MbxYAAAAcAAJ_0193.txt', 'line 44', 1]
abgestor : ['bub_gb_MbxYAAAAcAAJ_0369.txt', 'line 79', 1]
abgestraffet : ['bub_gb_MbxYAAAAcAAJ_0051.txt', 'line 5', 1]
abgestreiffet : ['bub_gb_MbxYAAAAcAAJ_0166.txt', 'line 112', 1]
abgethan : ['bub_gb_MbxYAAAAcAAJ_0674.txt', 'line 62', 4]
abgetretten : ['bub_gb_MbxYAAAAcAAJ_0712.txt', 'line 105', 1]
