auctoreines : ['05.txt', 'line 47', 1]
auctorisschiff : ['69.txt', 'line 99', 1]
auctoriverlohren : ['52.txt', 'line 33', 1]
auctorlernen : ['33.txt', 'line 46', 1]
auctornicht : ['32.txt', 'line 9', 2]
auctorscordbervetor : ['73.txt', 'line 56', 1]
aufactionen : ['36.txt', 'line 3', 1]
aufblasser : ['60.txt', 'line 13', 1]
aufeßen : ['33.txt', 'line 96', 1]
aufgeführet : ['28.txt', 'line 32', 1]
aufgefüllet : ['72.txt', 'line 40', 1]
aufgeho : ['66.txt', 'line 89', 1]
aufgerich : ['35.txt', 'line 113', 1]
aufgesuchet : ['40.txt', 'line 6', 1]
aufherrliche : ['64.txt', 'line 91', 1]
aufsich : ['42.txt', 'line 81', 1]
aufverunreinigen : ['59.txt', 'line 30', 1]
aufwerffen : ['56.txt', 'line 25', 1]
aufzie : ['08.txt', 'line 52', 1]
augenmehr : ['05.txt', 'line 41', 1]
augustis : ['78.txt', 'line 55', 1]
aunterscheid : ['69.txt', 'line 77', 1]
aursachen : ['62.txt', 'line 77', 1]
ausder : ['59.txt', 'line 66', 1]
ausforschenhelffen : ['14.txt', 'line 9', 1]
ausfunden : ['77.txt', 'line 45', 1]
ausgebauet : ['37.txt', 'line 10', 2]
ausgefüllet : ['65.txt', 'line 88', 1]
ausgegatet : ['38.txt', 'line 31', 1]
ausgegötet : ['54.txt', 'line 75', 1]
ausgehenund : ['20.txt', 'line 95', 1]
ausgesetzet : ['22.txt', 'line 71', 1]
ausgestreuet : ['56.txt', 'line 100', 1]
ausgetheilet : ['52.txt', 'line 6', 1]
ausgetruncken : ['72.txt', 'line 41', 1]
ausgeübet : ['22.txt', 'line 94', 1]
aushoffart : ['14.txt', 'line 79', 1]
ausklopffen : ['30.txt', 'line 62', 2]
auskräutern : ['67.txt', 'line 38', 1]
auspari : ['37.txt', 'line 40', 1]
ausporto : ['09.txt', 'line 10', 1]
ausrichtenals : ['15.txt', 'line 67', 1]
ausschneidenlassen : ['65.txt', 'line 79', 1]
ausschneidungdes : ['41.txt', 'line 64', 2]
ausschneidungs : ['65.txt', 'line 92', 1]
ausserordentlich : ['51.txt', 'line 96', 2]
ausserordentlichenebbe : ['02.txt', 'line 3', 1]
aussiehet : ['52.txt', 'line 84', 2]
austerel : ['73.txt', 'line 58', 1]
austheiler : ['02.txt', 'line 3', 1]
auswen : ['37.txt', 'line 32', 1]
auszubürgen : ['34.txt', 'line 24', 1]
auszuma : ['72.txt', 'line 5', 1]
avan : ['62.txt', 'line 76', 2]
avasco : ['67.txt', 'line 131', 1]
avater : ['68.txt', 'line 6', 1]
averdeibet : ['70.txt', 'line 82', 1]
averhandeln : ['31.txt', 'line 9', 1]
averkauffen : ['60.txt', 'line 94', 1]
averstehen : ['32.txt', 'line 63', 2]
averwahrlosen : ['57.txt', 'line 49', 2]
avice : ['68.txt', 'line 79', 1]
avieh : ['69.txt', 'line 10', 1]
awarme : ['70.txt', 'line 83', 1]
awarmes : ['70.txt', 'line 83', 2]
awarum : ['70.txt', 'line 16', 1]
awas : ['45.txt', 'line 21', 3]
awasser : ['71.txt', 'line 43', 1]
awegnachklottentotts : ['71.txt', 'line 74', 1]
aweiß : ['01.txt', 'line 44', 1]
awerden : ['26.txt', 'line 81', 6]
awerffen : ['73.txt', 'line 18', 1]
awermuth : ['73.txt', 'line 18', 1]
awetter : ['73.txt', 'line 21', 1]
awilde : ['73.txt', 'line 49', 1]
awill : ['22.txt', 'line 110', 1]
awird : ['53.txt', 'line 5', 5]
axenburg : ['44.txt', 'line 95', 1]
aziehen : ['29.txt', 'line 63', 1]
aziehet : ['62.txt', 'line 60', 1]
aſchleds : ['01.txt', 'line 60', 1]
aſtrecker : ['01.txt', 'line 2', 1]
baades : ['09.txt', 'line 6', 1]
baads : ['14.txt', 'line 94', 1]
baaren : ['16.txt', 'line 129', 1]
babsonderbahre : ['20.txt', 'line 81', 1]
backenbeydes : ['15.txt', 'line 15', 1]
baddin : ['66.txt', 'line 113', 1]
badlersteine : ['02.txt', 'line 3', 1]
badmiral : ['02.txt', 'line 3', 1]
badvon : ['70.txt', 'line 75', 1]
badvor : ['59.txt', 'line 50', 1]
baeltester : ['02.txt', 'line 3', 1]
baffodi : ['02.txt', 'line 3', 1]
bafrica : ['02.txt', 'line 3', 1]
bagggne : ['75.txt', 'line 29', 1]
balaternoides : ['02.txt', 'line 3', 1]
balkeley : ['05.txt', 'line 112', 1]
bamandel : ['02.txt', 'line 5', 1]
bamazone : ['02.txt', 'line 7', 1]
bambra : ['02.txt', 'line 7', 1]
bameisen : ['02.txt', 'line 7', 1]
banblick : ['02.txt', 'line 9', 1]
banders : ['02.txt', 'line 9', 1]
baravia : ['49.txt', 'line 126', 1]
barbensind : ['07.txt', 'line 3', 1]
baronvon : ['15.txt', 'line 75', 1]
bataviagesendet : ['49.txt', 'line 128', 1]
batavla : ['54.txt', 'line 25', 1]
batterlein : ['25.txt', 'line 72', 3]
bauf : ['26.txt', 'line 15', 1]
baumachtiges : ['78.txt', 'line 59', 1]
baumschänder : ['07.txt', 'line 20', 1]
bavianen : ['21.txt', 'line 79', 4]
bax : ['33.txt', 'line 24', 4]
baxgebauet : ['68.txt', 'line 66', 1]
bbekommen : ['58.txt', 'line 67', 1]
bbey : ['71.txt', 'line 87', 1]
bbiegen : ['33.txt', 'line 4', 1]
bbleibet : ['42.txt', 'line 65', 1]
bbrachten : ['24.txt', 'line 20', 1]
bdabey : ['23.txt', 'line 117', 1]
bdaran : ['28.txt', 'line 39', 1]
bderen : ['25.txt', 'line 116', 3]
bderselbe : ['26.txt', 'line 5', 1]
bdessen : ['21.txt', 'line 85', 1]
bdie : ['67.txt', 'line 69', 2]
bdrackenstein : ['44.txt', 'line 101', 1]
bdrohet : ['40.txt', 'line 14', 1]
bdörffen : ['61.txt', 'line 39', 1]
bdörffte : ['27.txt', 'line 3', 1]
bdünste : ['59.txt', 'line 25', 1]
bedecketworden : ['23.txt', 'line 121', 1]
bedichteten : ['25.txt', 'line 15', 1]
bedienterder : ['63.txt', 'line 91', 1]
beerewachsen : ['18.txt', 'line 13', 1]
befeg : ['37.txt', 'line 108', 1]
befeh : ['42.txt', 'line 86', 1]
befesti : ['53.txt', 'line 49', 1]
befiehler : ['01.txt', 'line 38', 1]
befließen : ['06.txt', 'line 29', 1]
befordert : ['05.txt', 'line 31', 1]
befürch : ['73.txt', 'line 26', 1]
began : ['64.txt', 'line 73', 1]
beget : ['46.txt', 'line 20', 1]
begnügete : ['79.txt', 'line 15', 1]
begreiffende : ['61.txt', 'line 3', 1]
begängnißen : ['12.txt', 'line 14', 1]
beholffen : ['13.txt', 'line 60', 1]
beigenschafften : ['64.txt', 'line 38', 1]
beiten : ['18.txt', 'line 131', 1]
bekandtenbesuchet : ['34.txt', 'line 19', 1]
bekandter : ['24.txt', 'line 69', 1]
bekom : ['77.txt', 'line 72', 2]
bekommendiejenigen : ['54.txt', 'line 17', 1]
bekommerbald : ['72.txt', 'line 73', 1]
bekommetaber : ['27.txt', 'line 32', 1]
bekommtordre : ['04.txt', 'line 95', 1]
bekräff : ['49.txt', 'line 126', 1]
belauffen : ['17.txt', 'line 105', 1]
belk : ['79.txt', 'line 78', 1]
beloh : ['11.txt', 'line 63', 1]
belohnun : ['31.txt', 'line 73', 1]
bemn : ['77.txt', 'line 84', 1]
benan : ['66.txt', 'line 19', 1]
benennug : ['33.txt', 'line 61', 1]
benommenwerden : ['23.txt', 'line 40', 1]
benuit : ['07.txt', 'line 118', 1]
beobachtun : ['05.txt', 'line 37', 1]
beobachtungseltsamer : ['18.txt', 'line 93', 1]
bequinoctium : ['02.txt', 'line 3', 1]
berathschlagungenhalten : ['10.txt', 'line 45', 1]
berei : ['37.txt', 'line 38', 1]
bereitengebrauchet : ['55.txt', 'line 81', 1]
bereitsel : ['06.txt', 'line 25', 1]
bereitsnotificirttritt : ['04.txt', 'line 48', 1]
bergennach : ['75.txt', 'line 81', 2]
bergenumgeben : ['18.txt', 'line 99', 1]
bergesey : ['70.txt', 'line 75', 1]
bergicht : ['40.txt', 'line 45', 3]
bergiebt : ['01.txt', 'line 47', 1]
bergwercke : ['60.txt', 'line 84', 2]
bergwird : ['37.txt', 'line 82', 1]
berichgramderhottentortischen : ['75.txt', 'line 31', 1]
bernimmt : ['01.txt', 'line 24', 1]
besammen : ['69.txt', 'line 51', 1]
beschaffenheitforschet : ['11.txt', 'line 56', 1]
beschencket : ['33.txt', 'line 26', 2]
beschimpffet : ['59.txt', 'line 43', 1]
beschimpffter : ['06.txt', 'line 34', 1]
beschlos : ['13.txt', 'line 11', 1]
