briefre : ['60.txt', 'line 1', 1]
bruari : ['62.txt', 'line 55', 1]
buchhälter : ['65.txt', 'line 78', 1]
buelle : ['50.txt', 'line 30', 1]
bundniß : ['27.txt', 'line 5', 1]
buriren : ['08.txt', 'line 18', 1]
burts : ['20.txt', 'line 55', 1]
buschies : ['44.txt', 'line 82', 2]
bäuli : ['50.txt', 'line 25', 1]
bührende : ['30.txt', 'line 29', 1]
bührenden : ['46.txt', 'line 61', 1]
büssel : ['66.txt', 'line 106', 2]
caabse : ['14.txt', 'line 33', 1]
caie : ['65.txt', 'line 93', 1]
calia : ['50.txt', 'line 28', 1]
cammeraden : ['08.txt', 'line 39', 1]
canonen : ['04.txt', 'line 110', 1]
capirain : ['35.txt', 'line 94', 1]
capiral : ['53.txt', 'line 99', 1]
capirin : ['40.txt', 'line 101', 1]
capischen : ['24.txt', 'line 106', 6]
carronem : ['17.txt', 'line 75', 1]
carthaune : ['06.txt', 'line 15', 1]
cassiren : ['55.txt', 'line 8', 1]
cbauei : ['04.txt', 'line 107', 1]
cedern : ['03.txt', 'line 54', 1]
cember : ['04.txt', 'line 74', 1]
ceylo : ['65.txt', 'line 39', 1]
cheley : ['01.txt', 'line 32', 1]
chene : ['44.txt', 'line 90', 1]
chens : ['12.txt', 'line 57', 1]
chert : ['46.txt', 'line 54', 1]
chrheit : ['35.txt', 'line 11', 1]
chse : ['05.txt', 'line 75', 1]
chst : ['12.txt', 'line 94', 1]
chste : ['10.txt', 'line 79', 2]
chte : ['04.txt', 'line 49', 7]
chten : ['05.txt', 'line 42', 5]
chtischen : ['04.txt', 'line 82', 1]
chtnis : ['14.txt', 'line 26', 1]
circumferent : ['05.txt', 'line 52', 1]
cisci : ['07.txt', 'line 68', 1]
citiren : ['59.txt', 'line 83', 1]
ckel : ['45.txt', 'line 5', 3]
ckenden : ['05.txt', 'line 60', 1]
ckenstein : ['10.txt', 'line 40', 1]
ckern : ['34.txt', 'line 54', 1]
ckig : ['10.txt', 'line 87', 1]
ckkunft : ['02.txt', 'line 36', 1]
cklichen : ['06.txt', 'line 31', 2]
ckseligsten : ['12.txt', 'line 66', 1]
climaris : ['47.txt', 'line 34', 1]
cnd : ['51.txt', 'line 63', 1]
coemandeur : ['38.txt', 'line 27', 1]
collegius : ['49.txt', 'line 2', 1]
collegsen : ['49.txt', 'line 31', 1]
colonien : ['47.txt', 'line 45', 17]
colonte : ['54.txt', 'line 93', 1]
commandeur : ['65.txt', 'line 88', 4]
commandeurs : ['65.txt', 'line 108', 2]
commandiret : ['51.txt', 'line 49', 1]
commt : ['57.txt', 'line 56', 1]
communiciren : ['32.txt', 'line 5', 2]
communioren : ['06.txt', 'line 79', 1]
compasses : ['09.txt', 'line 4', 1]
compugnie : ['51.txt', 'line 87', 1]
concepen : ['44.txt', 'line 7', 1]
condemnirte : ['61.txt', 'line 53', 1]
conemurren : ['54.txt', 'line 83', 1]
confu : ['48.txt', 'line 104', 1]
confus : ['33.txt', 'line 52', 1]
consor : ['59.txt', 'line 7', 1]
consort : ['03.txt', 'line 13', 1]
consundirt : ['56.txt', 'line 97', 1]
continuarion : ['46.txt', 'line 64', 1]
contrairen : ['04.txt', 'line 75', 1]
contribution : ['54.txt', 'line 51', 1]
copulation : ['33.txt', 'line 89', 1]
corresponden : ['46.txt', 'line 7', 1]
correspondene : ['23.txt', 'line 76', 1]
coues : ['04.txt', 'line 63', 1]
courieux : ['05.txt', 'line 32', 1]
cprrespon : ['15.txt', 'line 53', 1]
cral : ['35.txt', 'line 101', 2]
crall : ['35.txt', 'line 90', 2]
cralle : ['43.txt', 'line 33', 1]
crallen : ['43.txt', 'line 29', 1]
crals : ['39.txt', 'line 47', 1]
cretarium : ['57.txt', 'line 50', 1]
crossen : ['38.txt', 'line 30', 1]
cruse : ['65.txt', 'line 80', 1]
ctament : ['52.txt', 'line 32', 1]
ctores : ['48.txt', 'line 69', 1]
cureulen : ['33.txt', 'line 49', 1]
curolität : ['37.txt', 'line 23', 1]
custiv : ['10.txt', 'line 65', 1]
daben : ['14.txt', 'line 91', 1]
dacha : ['33.txt', 'line 13', 1]
dachrade : ['05.txt', 'line 135', 2]
daderrch : ['57.txt', 'line 52', 1]
dadey : ['10.txt', 'line 52', 1]
dagwa : ['05.txt', 'line 127', 1]
dahe : ['16.txt', 'line 47', 1]
damahligen : ['02.txt', 'line 4', 1]
danckte : ['43.txt', 'line 24', 1]
danet : ['41.txt', 'line 90', 1]
danut : ['05.txt', 'line 39', 1]
darffe : ['38.txt', 'line 83', 1]
